Polish_name,Gmina,County,Voivodeship,German_name,Poland,Polish_name_clean,German_name_clean
Kaława,Międzyrzecz,Międzyrzecz,Lubusz Voivodeship,Kalau,152,KALAWA,KALAU
Kalisz Pomorski,Kalisz Pomorski,Drawsko,West Pomeranian Voivodeship,Kallies,152,KALISZ POMORSKI,KALLIES
Kalsko,Międzyrzecz,Międzyrzecz,Lubusz Voivodeship,Kalzig,152,KALSKO,KALZIG
Kamień Pomorski,Kamień Pomorski,,West Pomeranian Voivodeship,Cammin,152,KAMIEN POMORSKI,CAMMIN
Kamienna Góra,,Kamienna Góra,Lower Silesian Voivodeship,Landeshut,152,KAMIENNA GORA,LANDESHUT
Kargowa,Kargowa,Zielona Góra,Lubusz Voivodeship,Unruhstadt,152,KARGOWA,UNRUHSTADT
Karlino,Karlino,Białogard,West Pomeranian Voivodeship,Körlin an der Persante,152,KARLINO,KORLIN AN DER PERSANTE
Katowice,,,Silesian Voivodeship,Kattowitz,152,KATOWICE,KATTOWITZ
Kąty Rybackie,Sztutowo,Nowy Dwór Gdański,Pomeranian Voivodeship,Bodenwinkel,152,KATY RYBACKIE,BODENWINKEL
Kąty Wrocławskie,Kąty Wrocławskie,Wrocław,Lower Silesian Voivodeship,Kanth,152,KATY WROCLAWSKIE,KANTH
Kąty Wrocławskie,Kąty Wrocławskie,Wrocław,Lower Silesian Voivodeship,Canth[m],152,KATY WROCLAWSKIE,CANTH
Kędzierzyn-Koźle,,Kędzierzyn-Koźle,Opole Voivodeship,Kandrzin-Cosel,152,KEDZIERZYN-KOZLE,KANDRZIN-COSEL
"Kępsko, Lubusz Voivodeship",Świebodzin,Świebodzin,Lubusz Voivodeship,Schönborn,152,KEPSKO,SCHONBORN
Kęszyca,Międzyrzecz,Międzyrzecz,Lubusz Voivodeship,Kainscht,152,KESZYCA,KAINSCHT
Kętrzyn,,Kętrzyn,Warmian–Masurian Voivodeship,Rastenburg[g],152,KETRZYN,RASTENBURG
Klępino,Stargard,Stargard,West Pomeranian Voivodeship,Klempin,152,KLEPINO,KLEMPIN
Klępsk,Sulechów,Zielona Góra,Lubusz Voivodeship,Klemzig,152,KLEPSK,KLEMZIG
Kłodzko,,Kłodzko,Lower Silesian Voivodeship,Glatz,152,KLODZKO,GLATZ
Kłonowo,Dobre,Radziejów,Kuyavian-Pomeranian Voivodeship,Klönnau,152,KLONOWO,KLONNAU
"Klonowo, Tuchola County",Lubiewo,Tuchola,Kuyavian-Pomeranian Voivodeship,Klonowo,152,KLONOWO,KLONOWO
"Klonowo, Tuchola County",Lubiewo,Tuchola,Kuyavian-Pomeranian Voivodeship,Klontal[n],152,KLONOWO,KLONTAL
"Kłopot, Lubusz Voivodeship",Cybinka,Słubice,Lubusz Voivodeship,Kloppitz,152,KLOPOT,KLOPPITZ
Kluczbork,Kluczbork,Kluczbork,Opole Voivodeship,Kreuzberg,152,KLUCZBORK,KREUZBERG
Koło,,Koło,Greater Poland Voivodeship,Kohlo,152,KOLO,KOHLO
Kołobrzeg,,Kołobrzeg,,Kolberg,152,KOLOBRZEG,KOLBERG
Kolonowskie,Kolonowskie,Strzelce,Opole Voivodeship,Colonnowska,152,KOLONOWSKIE,COLONNOWSKA
Kolonowskie,Kolonowskie,Strzelce,Opole Voivodeship,Grafenweiler[o],152,KOLONOWSKIE,GRAFENWEILER
Konin Żagański,Iłowa,Żagań,Lubusz Voivodeship,Kunau,152,KONIN ZAGANSKI,KUNAU
Korfantów,Korfantów,Nysa,Opole Voivodeship,Friedland in Oberschlesien,152,KORFANTOW,FRIEDLAND IN OBERSCHLESIEN
Koronowo,Koronowo,Bydgoszcz,Kuyavian-Pomeranian Voivodeship,Polnisch Krone[p],152,KORONOWO,POLNISCH KRONE
Koronowo,Koronowo,Bydgoszcz,Kuyavian-Pomeranian Voivodeship,Crone an der Brahe,152,KORONOWO,CRONE AN DER BRAHE
Koronowo,Koronowo,Bydgoszcz,Kuyavian-Pomeranian Voivodeship,Krone an der Brahe[q],152,KORONOWO,KRONE AN DER BRAHE
"Kosarzyn, Lubusz Voivodeship",Gubin,Krosno Odrzańskie,Lubusz Voivodeship,Kuschern,152,KOSARZYN,KUSCHERN
Kościan,,Kościan,Greater Poland Voivodeship,Kosten,152,KOSCIAN,KOSTEN
Kostrzyn nad Odrą,,Gorzów,Lubusz Voivodeship,Küstrin,152,KOSTRZYN NAD ODRA,KUSTRIN
Koszalin,,,,Köslin,152,KOSZALIN,KOSLIN
"Kotowice, Lubusz Voivodeship",Nowogród Bobrzański,Zielona Góra,Lubusz Voivodeship,Kottwitz,152,KOTOWICE,KOTTWITZ
Kowalewo Pomorskie,Kowalewo Pomorskie,Golub-Dobrzyń,Kuyavian-Pomeranian Voivodeship,Schönsee,152,KOWALEWO POMORSKIE,SCHONSEE
Kożuchów,Kożuchów,Nowa Sól,Lubusz Voivodeship,Freystadt in Schlesien,152,KOZUCHOW,FREYSTADT IN SCHLESIEN
Kozy,,Bielsko County,Silesian Voivodeship,Seiffersdorf,152,KOZY,SEIFFERSDORF
