pid,city_1,city_2,city_3,city_4,imp_birth_country,imp_type,city_1_country,city_2_country,city_3_country,city_4_country,exonym_country.x,exonym_country.y,exonym_country_0,exonym_country_1,history_birth_country
39085,BRAUNAU,SCHONAU,NA,NA,000/151,german_city/unique_citizen,NA,NA,NA,NA,NA,NA,NA,152,152
39433,KATTOWITZ,PLESS,NA,NA,000/152,german_city/unique_city,152,152,NA,NA,152,152,NA,NA,152
39583,BEUTHEN,SCHOMBERG,NA,NA,000/152,german_city/unique_city,NA,NA,NA,NA,NA,NA,NA,152,152
39618,BAD SULZE,RIBNITA,NA,NA,000/146,fuzzy/german_city,NA,NA,NA,NA,NA,NA,NA,NA,NA
39691,KOSLIN,LATZIG,POMMERN,NA,000/152,german_city/unique_city,152,NA,NA,NA,152,152,NA,NA,152
39751,GOLDBACH,WEHLAU,NA,NA,000/160,german_city/ostgebiete,NA,NA,NA,NA,NA,NA,NA,152,152
40003,EICHENBERG,LABIAU,NA,NA,000/152,german_city/ostgebiete,NA,NA,NA,NA,NA,NA,NA,NA,NA
40093,COSEL,FREYSTADT,NA,NA,000/152,german_city/unique_city,NA,NA,NA,NA,NA,NA,NA,152,152
40116,BUCHHOLZ,STETTIN,NA,NA,000/152,german_city/unique_city,152,152,NA,NA,152,152,NA,NA,152
40713,HABELSCHWERDT,ROSENTHAL,NA,NA,000/152,german_city/unique_city,NA,NA,NA,NA,NA,NA,152,152,152
40753,FOHRENDORF,ROSENBERG,ZEBOWICE,NA,000/152,german_city/unique_city,NA,152,NA,NA,152,152,NA,NA,152
40806,KAKANJ,RIBNICA,NA,NA,122/131,city_o50/world_list,NA,NA,NA,NA,NA,NA,NA,NA,NA
40813,DANZIG,NEUSTADT,NA,NA,000/152,german_city/unique_city,152,152,NA,NA,152,152,NA,NA,152
40940,ANNAHUTTE,CALAU,NA,NA,000/152,german_city/unique_city,NA,NA,NA,NA,NA,NA,NA,NA,NA
41102,BUCHENBERG,ROSSEL,NA,NA,000/152,german_city/unique_city,NA,152,NA,NA,152,152,NA,NA,152
41269,PLESS,PODLESIE,NA,NA,000/152,german_city/unique_city,152,NA,NA,NA,152,152,NA,NA,152
41522,BAUMGARTEN,JAUER,NA,NA,000/152,german_city/unique_city,NA,152,NA,NA,152,152,NA,NA,152
41658,OTTENDORF,SPROTTAU,NA,NA,000/152,german_city/unique_city,NA,152,NA,NA,152,152,NA,NA,152
41706,BRUX,HAVRAN,NA,NA,163/164,unique_city,NA,NA,NA,NA,NA,NA,NA,NA,NA
