birth_city,edit1_deu,edit1_int,edit1_eng,canon
VOLKENRODE,VOLKERODE,NA,NA,
ERKALENZ,ERKELENZ,NA,ERKELENZ,
WADANG,NA,PADANG,PADANG,
K.MARAS,NA,K. MARAS,NA,
SUDERSHAUSEN,MUDERSHAUSEN,NA,NA,
REDKLINGHAUSEN,RECKLINGHAUSEN,RECKLINGHAUSEN,RECKLINGHAUSEN,RECKLINGHAUSEN
LESKOVAC,NA,LESKOVAS,NA,LESKOVAS
ALTENBRUCH,ALTENBUCH,NA,NA,
REUSSEN,CREUSSEN,NA,NA,
KOLZOW,GOLZOW,NA,NA,
DESSAU,DERSAU,ESSAU,NA,
BITTERFELD/WOLFEN,BITTERFELD-WOLFEN,NA,BITTERFELD-WOLFEN,BITTERFELD-WOLFEN
ALTENTREPTOV,ALTENTREPTOW,NA,NA,ALTENTREPTOW
ANHOLT,ANHALT,NA,NA,ANHALT
NACHRODT-WIBLINGVERDE,NACHRODT-WIBLINGWERDE,NA,NA,NACHRODT-WIBLINGWERDE
OSTERNDORF,OTTERNDORF,NA,NA,OTTERNDORF
DOMNITZ,DOMITZ,NA,NA,DOMITZ
LEISING,LEISNIG,NA,NA,LEISNIG
PURITZ,MURITZ,NA,NA,MURITZ
KERNEIN,KERNEN,NA,NA,KERNEN
RECKLINGHUASEN,RECKLINGHAUSEN,RECKLINGHAUSEN,RECKLINGHAUSEN,RECKLINGHAUSEN
SAGAR,SAGARD,NA,NA,SAGARD
UROSEVAC,NA,UROSEVACI,NA,UROSEVACI
GOTZING,MOTZING,NA,NA,
NUDERSDORF,LUDERSDORF,NA,NA,
MANDELN,MANDEL,NA,NA,MANDEL
AHLBACH,WAHLBACH,NA,NA,
OTTENHAUSEN,ATTENHAUSEN,NA,NA,
ARANDJELOVAC,NA,ARANDELOVAC,ARANDELOVAC,ARANDELOVAC
HEIDESHEIM,DEIDESHEIM,NA,NA,
FORSBACH,FORBACH,NA,FORBACH,FORBACH
LASBECK,LASBEK,NA,NA,LASBEK
WEHRDEN,GEHRDEN,NA,NA,
TRIEBES,TRIEBEL,NA,NA,
DJAKARTA,NA,JAKARTA,JAKARTA,JAKARTA
LOBURG,COBURG,NA,COBURG,
OBERKIRCHEN,OBERNKIRCHEN,NA,NA,OBERNKIRCHEN
FERIZAJ,NA,FERIZAY,NA,FERIZAY
KOSCHANTIN,NA,KOSCHENTIN,NA,KOSCHENTIN
MERSCHWEILER,FERSCHWEILER,NA,NA,
BRENNEN,BRUNNEN,NA,NA,
LEUTHEN,HEUTHEN,BEUTHEN,NA,
OBERADEN,OBERRADEN,NA,NA,
BENTHEIM,BELTHEIM,NA,BENSHEIM,
WANGE,WANGEN,NA,NA,
OSTRAU,OTTRAU,OSTRA,NA,
SIMMERSDORF,SIMMELSDORF,NA,NA,SIMMELSDORF
QUEDLINGBURG,QUEDLINBURG,NA,QUEDLINBURG,QUEDLINBURG
WARTENHOFEN,WALTENHOFEN,NA,NA,WALTENHOFEN
GITTERSDORF,DITTERSDORF,NA,NA,DITTERSDORF
AMDORF,ALMDORF,AADORF,NA,ALMDORF
RUDZIENIEC,NA,RUDZINIEC,NA,
RECKLINGHAUEN,RECKLINGHAUSEN,RECKLINGHAUSEN,RECKLINGHAUSEN,RECKLINGHAUSEN
HOENSROCK,NA,HOENSBROCK,NA,
ZEMMIN,DEMMIN,ZEMRIN,NA,
POLLNOW,NA,GOLLNOW,NA,
FRIESACH,FRIESACK,NA,NA,
KHANAN,NA,KHANNA,KHANNA,KHANNA
MERTEN,HERTEN,MARTEN,HERTEN,
POLLMA,NA,POLLA,NA,
RATHEN,LATHEN,ATHEN,NA,
STEDTFELD,STETTFELD,NA,NA,STETTFELD
PECKELSHEIM,ECKELSHEIM,NA,NA,
RAMSDORF,DAMSDORF,NA,NA,
DUISBURT,DUISBURG,NA,DUISBURG,DUISBURG
MARENBERG,MARIENBERG,NA,MARIENBERG,MARIENBERG
MONCHEN,MUNCHEN,NA,NA,MUNCHEN
SETTERICH,METTERICH,NA,NA,METTERICH
HEINERSDORF,HEIDERSDORF,NA,NA,HEIDERSDORF
LANGENHAIN,LANGENHAHN,NA,NA,LANGENHAHN
KIRSCHAU,HIRSCHAU,DIRSCHAU,NA,HIRSCHAU
SEITENDORF,WEITENDORF,NA,NA,WEITENDORF
AL NASRAH,NA,AL BASRAH,NA,
HEINSHEIM,HEIMSHEIM,NA,NA,HEIMSHEIM
RAPENDORF,PAPENDORF,NA,NA,PAPENDORF
BEILINGRIES,BEILNGRIES,NA,NA,BEILNGRIES
BERGHOLZHAUSEN,BORGHOLZHAUSEN,NA,NA,BORGHOLZHAUSEN
HERBSTLEBEN,HERBSLEBEN,NA,NA,HERBSLEBEN
RIBNITZ,NA,RIBNITA,RIBNITA,RIBNITA
KETTWIG,KETTIG,NA,NA,
SELLIN,SELPIN,ZELLIN,HELLIN,
LAIMBACH,LEIMBACH,NA,NA,LEIMBACH
GIERSDORF,BIERSDORF,NA,NA,
RURICH,AURICH,ZURICH,AURICH,
ULZEN,UELZEN,NA,NA,
OSSIPOWKA,NA,OSIPOWKA,NA,OSIPOWKA
